C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_400.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_400.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_400.jpg,0,0,0,10.86196
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_474.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_474.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_474.jpg,0,0,0,10.77228
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_546.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_546.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_546.jpg,0,0,0,10.70549
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_622.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_622.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_622.jpg,0,0,0,10.61705
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_697.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_697.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_697.jpg,0,0,0,10.52935
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_771.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_771.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_771.jpg,0,0,0,10.46403
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_858.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_858.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_858.jpg,0,0,0,10.35606
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_30_937.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_30_937.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_30_937.jpg,0,0,0,10.27045
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_31_015.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_31_015.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_31_015.jpg,0,0,0,10.18554
C:\Users\yadu\Desktop\data\IMG\center_2019_11_10_12_02_31_090.jpg,C:\Users\yadu\Desktop\data\IMG\left_2019_11_10_12_02_31_090.jpg,C:\Users\yadu\Desktop\data\IMG\right_2019_11_10_12_02_31_090.jpg,0,0,0,10.1223
